onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
8	1.0	3.0	1	stim_3.png
18	1.0	4.0	1	stim_4.png
26	1.0	3.0	1	stim_3.png
42	1.0	5.0	1	stim_5.png
60	1.0	4.0	1	stim_4.png
68	1.0	5.0	1	stim_5.png
78	1.0	2.0	1	stim_2.png
84	1.0	4.0	1	stim_4.png
90	1.0	4.0	1	stim_4.png
96	1.0	3.0	1	stim_3.png
102	1.0	5.0	1	stim_5.png
110	1.0	3.0	1	stim_3.png
118	1.0	3.0	1	stim_3.png
126	1.0	4.0	0	stim_4.png
144	1.0	5.0	1	stim_5.png
150	1.0	4.0	1	stim_4.png
164	1.0	2.0	1	stim_2.png
170	1.0	5.0	0	stim_5.png
182	1.0	3.0	1	stim_3.png
190	1.0	5.0	1	stim_5.png
202	1.0	2.0	1	stim_2.png
208	1.0	2.0	0	stim_2.png
222	1.0	4.0	1	stim_4.png
228	1.0	2.0	1	stim_2.png
242	1.0	2.0	1	stim_2.png
260	1.0	4.0	1	stim_4.png
278	1.0	5.0	1	stim_5.png
290	1.0	5.0	1	stim_5.png
296	1.0	2.0	0	stim_2.png
310	1.0	2.0	1	stim_2.png
320	1.0	3.0	1	stim_3.png
336	1.0	2.0	1	stim_2.png
342	1.0	2.0	1	stim_2.png
350	1.0	2.0	1	stim_2.png
358	1.0	5.0	1	stim_5.png
374	1.0	4.0	0	stim_4.png
384	1.0	5.0	1	stim_5.png
390	1.0	3.0	1	stim_3.png
398	1.0	4.0	1	stim_4.png
404	1.0	3.0	1	stim_3.png
410	1.0	3.0	1	stim_3.png
418	1.0	5.0	1	stim_5.png
434	1.0	4.0	1	stim_4.png
440	1.0	3.0	1	stim_3.png
446	1.0	5.0	1	stim_5.png
454	1.0	3.0	1	stim_3.png
462	1.0	2.0	1	stim_2.png
