onset	duration	trialType	correct	stim_file
2	1.0	4.0	0	stim_4.png
12	1.0	2.0	1	stim_2.png
20	1.0	2.0	1	stim_2.png
32	1.0	4.0	1	stim_4.png
50	1.0	2.0	1	stim_2.png
68	1.0	3.0	1	stim_3.png
84	1.0	5.0	1	stim_5.png
92	1.0	3.0	1	stim_3.png
98	1.0	5.0	1	stim_5.png
106	1.0	3.0	1	stim_3.png
114	1.0	5.0	1	stim_5.png
120	1.0	3.0	1	stim_3.png
138	1.0	2.0	1	stim_2.png
156	1.0	3.0	1	stim_3.png
164	1.0	3.0	1	stim_3.png
174	1.0	4.0	1	stim_4.png
180	1.0	4.0	0	stim_4.png
186	1.0	5.0	0	stim_5.png
194	1.0	2.0	1	stim_2.png
200	1.0	3.0	1	stim_3.png
206	1.0	4.0	1	stim_4.png
216	1.0	4.0	1	stim_4.png
222	1.0	4.0	1	stim_4.png
230	1.0	3.0	1	stim_3.png
236	1.0	4.0	1	stim_4.png
244	1.0	5.0	1	stim_5.png
250	1.0	5.0	1	stim_5.png
260	1.0	2.0	1	stim_2.png
276	1.0	5.0	1	stim_5.png
288	1.0	2.0	1	stim_2.png
302	1.0	3.0	1	stim_3.png
308	1.0	5.0	1	stim_5.png
314	1.0	4.0	1	stim_4.png
330	1.0	2.0	0	stim_2.png
342	1.0	5.0	1	stim_5.png
350	1.0	4.0	1	stim_4.png
362	1.0	3.0	1	stim_3.png
368	1.0	3.0	1	stim_3.png
382	1.0	2.0	1	stim_2.png
388	1.0	4.0	1	stim_4.png
402	1.0	2.0	1	stim_2.png
408	1.0	4.0	1	stim_4.png
424	1.0	3.0	1	stim_3.png
438	1.0	2.0	1	stim_2.png
446	1.0	5.0	1	stim_5.png
454	1.0	5.0	1	stim_5.png
462	1.0	2.0	1	stim_2.png
468	1.0	5.0	1	stim_5.png
