onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
14	1.0	4.0	1	stim_4.png
20	1.0	2.0	1	stim_2.png
30	1.0	2.0	1	stim_2.png
38	1.0	3.0	1	stim_3.png
56	1.0	2.0	0	stim_2.png
64	1.0	4.0	1	stim_4.png
72	1.0	5.0	1	stim_5.png
80	1.0	5.0	1	stim_5.png
90	1.0	3.0	1	stim_3.png
96	1.0	2.0	1	stim_2.png
102	1.0	4.0	1	stim_4.png
116	1.0	2.0	1	stim_2.png
128	1.0	2.0	1	stim_2.png
146	1.0	4.0	1	stim_4.png
162	1.0	2.0	1	stim_2.png
176	1.0	5.0	1	stim_5.png
192	1.0	5.0	1	stim_5.png
202	1.0	3.0	1	stim_3.png
218	1.0	3.0	1	stim_3.png
224	1.0	4.0	1	stim_4.png
236	1.0	2.0	1	stim_2.png
244	1.0	5.0	1	stim_5.png
258	1.0	5.0	1	stim_5.png
272	1.0	5.0	1	stim_5.png
278	1.0	2.0	0	stim_2.png
284	1.0	4.0	1	stim_4.png
302	1.0	3.0	1	stim_3.png
308	1.0	5.0	1	stim_5.png
314	1.0	2.0	1	stim_2.png
332	1.0	3.0	1	stim_3.png
338	1.0	4.0	1	stim_4.png
344	1.0	3.0	1	stim_3.png
350	1.0	5.0	1	stim_5.png
356	1.0	3.0	1	stim_3.png
362	1.0	3.0	1	stim_3.png
378	1.0	3.0	1	stim_3.png
386	1.0	4.0	1	stim_4.png
394	1.0	3.0	1	stim_3.png
404	1.0	3.0	1	stim_3.png
412	1.0	4.0	1	stim_4.png
418	1.0	4.0	1	stim_4.png
430	1.0	2.0	1	stim_2.png
438	1.0	2.0	1	stim_2.png
446	1.0	5.0	1	stim_5.png
454	1.0	5.0	1	stim_5.png
460	1.0	4.0	1	stim_4.png
466	1.0	4.0	1	stim_4.png
