onset	duration	trialType	correct	stim_file
2	1.0	3.0	1	stim_3.png
14	1.0	4.0	1	stim_4.png
20	1.0	3.0	1	stim_3.png
30	1.0	2.0	1	stim_2.png
40	1.0	2.0	1	stim_2.png
48	1.0	4.0	1	stim_4.png
64	1.0	3.0	1	stim_3.png
70	1.0	3.0	1	stim_3.png
88	1.0	5.0	1	stim_5.png
94	1.0	2.0	1	stim_2.png
102	1.0	4.0	1	stim_4.png
112	1.0	4.0	1	stim_4.png
118	1.0	5.0	1	stim_5.png
132	1.0	3.0	1	stim_3.png
138	1.0	2.0	1	stim_2.png
144	1.0	3.0	1	stim_3.png
152	1.0	2.0	1	stim_2.png
168	1.0	3.0	1	stim_3.png
174	1.0	2.0	1	stim_2.png
180	1.0	5.0	1	stim_5.png
188	1.0	5.0	1	stim_5.png
204	1.0	5.0	1	stim_5.png
210	1.0	4.0	1	stim_4.png
220	1.0	5.0	1	stim_5.png
228	1.0	5.0	1	stim_5.png
240	1.0	3.0	1	stim_3.png
248	1.0	3.0	1	stim_3.png
266	1.0	4.0	1	stim_4.png
280	1.0	2.0	1	stim_2.png
286	1.0	5.0	1	stim_5.png
292	1.0	3.0	1	stim_3.png
298	1.0	5.0	1	stim_5.png
304	1.0	5.0	1	stim_5.png
320	1.0	3.0	1	stim_3.png
326	1.0	5.0	1	stim_5.png
334	1.0	4.0	1	stim_4.png
346	1.0	2.0	1	stim_2.png
360	1.0	4.0	1	stim_4.png
378	1.0	4.0	1	stim_4.png
386	1.0	4.0	1	stim_4.png
394	1.0	3.0	0	stim_3.png
400	1.0	2.0	1	stim_2.png
408	1.0	2.0	1	stim_2.png
420	1.0	5.0	1	stim_5.png
428	1.0	2.0	1	stim_2.png
442	1.0	2.0	1	stim_2.png
448	1.0	4.0	1	stim_4.png
466	1.0	4.0	1	stim_4.png
