onset	duration	trialType	correct	stim_file
2	1.0	2.0	1	stim_2.png
10	1.0	5.0	1	stim_5.png
28	1.0	4.0	1	stim_4.png
36	1.0	4.0	1	stim_4.png
44	1.0	2.0	1	stim_2.png
50	1.0	4.0	1	stim_4.png
64	1.0	4.0	1	stim_4.png
70	1.0	2.0	1	stim_2.png
76	1.0	3.0	1	stim_3.png
86	1.0	5.0	1	stim_5.png
104	1.0	5.0	1	stim_5.png
120	1.0	2.0	1	stim_2.png
126	1.0	5.0	1	stim_5.png
132	1.0	2.0	1	stim_2.png
138	1.0	5.0	1	stim_5.png
146	1.0	2.0	1	stim_2.png
156	1.0	4.0	1	stim_4.png
170	1.0	5.0	1	stim_5.png
188	1.0	3.0	1	stim_3.png
196	1.0	2.0	1	stim_2.png
210	1.0	4.0	1	stim_4.png
228	1.0	4.0	1	stim_4.png
238	1.0	3.0	1	stim_3.png
244	1.0	3.0	1	stim_3.png
250	1.0	4.0	1	stim_4.png
258	1.0	3.0	1	stim_3.png
264	1.0	5.0	1	stim_5.png
270	1.0	2.0	1	stim_2.png
278	1.0	3.0	1	stim_3.png
286	1.0	3.0	1	stim_3.png
292	1.0	4.0	1	stim_4.png
306	1.0	3.0	1	stim_3.png
314	1.0	2.0	1	stim_2.png
326	1.0	2.0	1	stim_2.png
342	1.0	3.0	1	stim_3.png
350	1.0	3.0	1	stim_3.png
358	1.0	5.0	1	stim_5.png
364	1.0	4.0	1	stim_4.png
376	1.0	2.0	1	stim_2.png
392	1.0	5.0	1	stim_5.png
400	1.0	3.0	1	stim_3.png
406	1.0	4.0	1	stim_4.png
418	1.0	4.0	1	stim_4.png
424	1.0	5.0	1	stim_5.png
440	1.0	2.0	1	stim_2.png
446	1.0	5.0	1	stim_5.png
452	1.0	5.0	1	stim_5.png
462	1.0	3.0	1	stim_3.png
