onset	duration	trialType	correct	stim_file
2	1.0	3.0	1	stim_3.png
18	1.0	3.0	1	stim_3.png
24	1.0	2.0	1	stim_2.png
30	1.0	2.0	1	stim_2.png
46	1.0	4.0	1	stim_4.png
54	1.0	5.0	1	stim_5.png
60	1.0	4.0	1	stim_4.png
68	1.0	5.0	1	stim_5.png
82	1.0	3.0	1	stim_3.png
88	1.0	5.0	1	stim_5.png
100	1.0	4.0	1	stim_4.png
118	1.0	5.0	1	stim_5.png
128	1.0	4.0	1	stim_4.png
134	1.0	5.0	1	stim_5.png
144	1.0	2.0	1	stim_2.png
156	1.0	4.0	1	stim_4.png
162	1.0	4.0	1	stim_4.png
178	1.0	2.0	1	stim_2.png
186	1.0	4.0	1	stim_4.png
192	1.0	5.0	1	stim_5.png
198	1.0	2.0	1	stim_2.png
212	1.0	2.0	1	stim_2.png
218	1.0	2.0	1	stim_2.png
230	1.0	2.0	1	stim_2.png
236	1.0	4.0	1	stim_4.png
244	1.0	3.0	1	stim_3.png
252	1.0	5.0	1	stim_5.png
264	1.0	2.0	1	stim_2.png
270	1.0	3.0	1	stim_3.png
276	1.0	5.0	1	stim_5.png
284	1.0	2.0	1	stim_2.png
298	1.0	3.0	1	stim_3.png
306	1.0	4.0	1	stim_4.png
312	1.0	3.0	1	stim_3.png
328	1.0	4.0	1	stim_4.png
338	1.0	4.0	1	stim_4.png
344	1.0	5.0	1	stim_5.png
352	1.0	5.0	1	stim_5.png
360	1.0	3.0	1	stim_3.png
378	1.0	3.0	1	stim_3.png
386	1.0	5.0	1	stim_5.png
400	1.0	3.0	0	stim_3.png
410	1.0	2.0	1	stim_2.png
428	1.0	5.0	1	stim_5.png
436	1.0	3.0	1	stim_3.png
454	1.0	4.0	1	stim_4.png
460	1.0	2.0	1	stim_2.png
466	1.0	3.0	1	stim_3.png
