onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
10	1.0	2.0	1	stim_2.png
22	1.0	4.0	1	stim_4.png
28	1.0	2.0	1	stim_2.png
36	1.0	4.0	0	stim_4.png
50	1.0	3.0	1	stim_3.png
58	1.0	2.0	1	stim_2.png
64	1.0	5.0	1	stim_5.png
70	1.0	3.0	1	stim_3.png
78	1.0	2.0	1	stim_2.png
84	1.0	2.0	1	stim_2.png
90	1.0	2.0	1	stim_2.png
104	1.0	4.0	1	stim_4.png
110	1.0	5.0	1	stim_5.png
116	1.0	5.0	1	stim_5.png
128	1.0	5.0	1	stim_5.png
144	1.0	3.0	1	stim_3.png
150	1.0	4.0	1	stim_4.png
166	1.0	2.0	1	stim_2.png
174	1.0	3.0	1	stim_3.png
180	1.0	3.0	1	stim_3.png
186	1.0	3.0	1	stim_3.png
194	1.0	4.0	1	stim_4.png
208	1.0	3.0	1	stim_3.png
218	1.0	2.0	1	stim_2.png
226	1.0	5.0	1	stim_5.png
232	1.0	5.0	1	stim_5.png
246	1.0	2.0	1	stim_2.png
252	1.0	4.0	1	stim_4.png
260	1.0	2.0	1	stim_2.png
272	1.0	3.0	1	stim_3.png
288	1.0	3.0	1	stim_3.png
294	1.0	4.0	1	stim_4.png
302	1.0	4.0	1	stim_4.png
312	1.0	4.0	1	stim_4.png
318	1.0	2.0	1	stim_2.png
336	1.0	3.0	1	stim_3.png
352	1.0	3.0	1	stim_3.png
360	1.0	5.0	1	stim_5.png
368	1.0	2.0	1	stim_2.png
380	1.0	4.0	1	stim_4.png
398	1.0	4.0	1	stim_4.png
416	1.0	5.0	1	stim_5.png
426	1.0	5.0	1	stim_5.png
434	1.0	3.0	1	stim_3.png
452	1.0	5.0	1	stim_5.png
462	1.0	5.0	1	stim_5.png
468	1.0	5.0	1	stim_5.png
